id,city,raion,address,lat,lon,workinghours,mintime,pAddress
205,თბილისი,ვაგზალი,თამარ მეფის 32,41.72085733,44.7975296,09:00-18:00,15,
206,თბილისი,ვაგზალი,თამარ მეფის ხიდთან,41.71752794,44.78862198,09:00-18:00,15,
207,თბილისი,მთაწმინდა,თავისუფლების მოედანი 3,41.69350032,44.80210964,09:00-18:00,15,
208,თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 150,41.71741982,44.79137929,09:00-18:00,15,
209,თბილისი,ჩუღურეთი,მარჯანიშვილის 26,41.71004968,44.79825379,09:00-18:00,15,
210,თბილისი,სამგორი,ჯავახეთის ქ 3,41.69320791,44.87075122,09:00-18:00,15,
211,თბილისი,სამგორი,ჯავახეთის ქ 1,41.68784004,44.87067344,09:00-18:00,15,
212,თბილისი,სამგორი,ჯავახეთის ქ 4,41.69276327,44.87057688,09:00-18:00,15,
213,თბილისი,სამგორი,ჯავახეთის ქ 2,41.69233266,44.87057419,09:00-18:00,15,
214,თბილისი,სამგორი,ჯავახეთის 24,41.69296957,44.8707995,09:00-18:00,15,
215,თბილისი,დიდუბე,წერეთლის 1,41.72404442,44.79092868,09:00-18:00,15,
216,თბილისი,დიდუბე,წერეთლის 9,41.72520951,44.79015084,09:00-18:00,15,
217,თბილისი,დიდუბე,წერეთლის 8 10,41.72566193,44.78963586,09:00-18:00,15,
218,თბილისი,დიდუბე,წერეთლის 2,41.72492525,44.79010792,09:00-18:00,15,
219,თბილისი,დიდუბე,წერეთლის 60,41.73263396,44.78457989,09:00-18:00,15,
220,თბილისი,დიდუბე,წერეთლის 8,41.72559387,44.78956344,09:00-18:00,15,
221,თბილისი,ვაკე,ჭავჭავაძის 33,41.71019585,44.76441236,09:00-18:00,15,
222,თბილისი,ვაკე,ჭავჭავაძის 78,41.71181371,44.75237461,09:00-18:00,15,
223,თბილისი,გლდანი,"გლდანი ,მ ახმეტელთან",41.7906768,44.81731148,09:00-18:00,15,
224,თბილისი,გლდანი,გლდანი მე-2 მ/რ ბანკ რესპუბლიკასთან,41.79448833,44.81731357,09:00-18:00,15,
225,თბილისი,დიდუბე,წერეთლის 74,41.73271202,44.78464887,09:00-18:00,15,
226,თბილისი,დიდუბე,წერეთლის 65,41.7346956,44.78344532,09:00-18:00,15,
227,თბილისი,ვერა,"კოსტავას 67,ტექნიკურ უნივერსიტეტთან",41.71548977,44.77903577,09:00-18:00,15,
228,თბილისი,ვერა,კოსტავას 26,41.70654652,44.78682683,09:00-18:00,15,
231,თბილისი,სოლოლაკი,ლეონიძის 10,41.69238774,44.79906709,09:00-18:00,15,
230,თბილისი,საბურთალო,მიცკევიჩის დასაწყისი,41.72432068,44.77110179,09:00-18:00,15,
232,თბილისი,ვერა,ლეონიძის 14,41.69220447,44.79831511,09:00-18:00,15,
233,თბილისი,ვერა,ნიკოლაძის 8,41.70695,44.78766175,09:00-18:00,15,
234,თბილისი,,მიშველაძის 5,41.71047217,44.75390883,09:00-18:00,15,
235,თბილისი,,კოსტავას 75,41.72154001,44.77764638,09:00-18:00,15,
236,თბილისი,,აბანოთ უბნის დასაცყისი,41.68895772,44.81130425,09:00-18:00,15,
237,თბილისი,,აბანოთ უბანი 17 19,41.68888761,44.81157096,09:00-18:00,15,
238,თბილისი,,გლდანი პროკრედიტის წინ,41.79153471,44.81655182,09:00-18:00,15,
239,თბილისი,,გლდანი თიბისის წინ,41.79051281,44.81839182,09:00-18:00,15,
240,თბილისი,,გლდანი ფინკა ბანკის მიმდებარედ,41.79190267,44.81676908,09:00-18:00,15,
241,თბილისი,,გლდანი ლიბერთის წინ,41.79050881,44.81752278,09:00-18:00,15,
242,თბილისი,,დიღომი იაშვილის კლინიკასთან,41.77243991,44.77474155,09:00-18:00,15,
243,თბილისი,,დიღომი გაგუას კლინიკასთან,41.77311603,44.77615239,09:00-18:00,15,
244,თბილისი,,დიღომი რკინიგზის სავადმყოფოსთან,41.77551442,44.77474155,09:00-18:00,15,
245,თბილისი,,გლდანი ახალ მზერასთან,41.79207265,44.81453748,09:00-18:00,15,
246,თბილისი,,ჭავჭავაძის 41,41.71198991,44.75279362,09:00-18:00,15,
247,თბილისი,,ზ.ფალიაშვილის 38-36ა (გეგეშიძის ბაღთან),41.70827059,44.76905317,09:00-18:00,15,
248,თბილისი,,ვაკის სასაფლაო,41.70892036,44.74005405,09:00-18:00,15,
249,თბილისი,,ვ.გორგასლის 39 ა,41.68224337,44.82373897,09:00-18:00,15,
